bill_name,lobbying_companies,bill_no,date introduced,sponsor,committee,state,party,no_bills_in_state,properties.color,properties.article
Securing Elections From AI Deception Act,,H.R.8858,06/27/2024,"Brown, Shontel M.",House - Energy and Commerce,Ohio,Democratic Party,6,#00AEC5,
Maintaining Innovation and Safe Technologies Act,,H.R.8832,06/25/2024,"Schweikert, David",House - Energy and Commerce; Ways and Means,Arizona,Republican Party,7,#00AEC5,
SMART in Schools Act,,S.4614,06/20/2024,"Markey, Edward J.","Senate - Health, Education, Labor, and Pensions",Massachusetts,Democratic Party,8,#00AEC5,
Artificial Intelligence Public Awareness and Education Campaign Act,,S.4596,06/20/2024,"Young, Todd","Senate - Commerce, Science, and Transportation",Indiana,Republican Party,3,#00AEC5,
AI LEAD Act,,H.R.8756,06/14/24,"Connolly, Gerald E.","House - Oversight and Accountability; Science, Space, and Technology",Virginia,Democratic Party,6,#00AEC5,
International Artificial Intelligence Research Partnership Act of 2024,,H.R.8700,06/11/24,"Torres, Norma J.",House - Foreign Affairs,California,Democratic Party,35,#007281,
PREPARED for AI Act,"PALO ALTO NETWORKS, INC., INFORMATION TECHNOLOGY INDUSTRY COUNCIL, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), AMAZON.COM SERVICES LLC, INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI), BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), CENTER FOR PROCUREMENT ADVOCACY, SAP AMERICA, INC., MEDTRONIC INC, MOTOROLA SOLUTIONS INC, RED HAT INC, FEDERAL MANAGERS ASSOCIATION, CHAMBER OF COMMERCE OF THE U.S.A., DELL TECHNOLOGIES, INC., BUSINESS SOFTWARE ALLIANCE",S.4495,06/11/24,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,"Bill Name: PREPARED for AI Act
Sponsor: Peters, Gary C.
Lobbying Companies: PALO ALTO NETWORKS, INC., INFORMATION TECHNOLOGY INDUSTRY COUNCIL, INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), AMAZON.COM SERVICES LLC, INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI), BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), CENTER FOR PROCUREMENT ADVOCACY, SAP AMERICA, INC., MEDTRONIC INC, MOTOROLA SOLUTIONS INC, RED HAT INC, FEDERAL MANAGERS ASSOCIATION, CHAMBER OF COMMERCE OF THE U.S.A., DELL TECHNOLOGIES, INC., BUSINESS SOFTWARE ALLIANCE"
Small Business Artificial Intelligence Training Act of 2024,"AMERICA'S HEALTH INSURANCE PLANS INC (AHIP), CTIA-THE WIRELESS ASSOCIATION, LINKEDIN CORPORATION, CHAMBER OF COMMERCE OF THE U.S.A., GOOGLE CLIENT SERVICES LLC",S.4487,06/11/24,"Cantwell, Maria","Senate - Commerce, Science, and Transportation",Washington,Democratic Party,10,#0090A3,"Bill Name: Small Business Artificial Intelligence Training Act of 2024
Sponsor: Cantwell, Maria
Lobbying Companies: AMERICA'S HEALTH INSURANCE PLANS INC (AHIP), CTIA-THE WIRELESS ASSOCIATION, LINKEDIN CORPORATION, CHAMBER OF COMMERCE OF THE U.S.A., GOOGLE CLIENT SERVICES LLC"
AI Transparency in Elections Act of 2024,"LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), DEMOCRACY 21, PUBLIC CITIZEN, AMERICAN FEDERATION OF TEACHERS, AMERICAN CIVIL LIBERTIES UNION, AMERICAN SECURITY FUND, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, CHAMBER OF COMMERCE OF THE U.S.A., NATIONAL ASSOCIATION OF BROADCASTERS, GOOGLE CLIENT SERVICES LLC, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS",H.R.8668,06/07/24,"Morelle, Joseph D.",House - House Administration,New York,Democratic Party,13,#0090A3,"Bill Name: AI Transparency in Elections Act of 2024
Sponsor: Morelle, Joseph D.
Lobbying Companies: LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), DEMOCRACY 21, PUBLIC CITIZEN, AMERICAN FEDERATION OF TEACHERS, AMERICAN CIVIL LIBERTIES UNION, AMERICAN SECURITY FUND, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, CHAMBER OF COMMERCE OF THE U.S.A., NATIONAL ASSOCIATION OF BROADCASTERS, GOOGLE CLIENT SERVICES LLC, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS"
DETECT Fentanyl and Xylazine Act of 2024,"NATIONAL TREASURY EMPLOYEES UNION, SERGEANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY",H.R.8663,06/07/2024,"LaLota, Nick",House - Homeland Security | Senate - Homeland Security and Governmental Affairs,New York,Republican Party,13,#0090A3,"Bill Name: DETECT Fentanyl and Xylazine Act of 2024
Sponsor: LaLota, Nick
Lobbying Companies: NATIONAL TREASURY EMPLOYEES UNION, SERGEANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY"
DETECT Fentanyl and Xylazine Act of 2024,"NATIONAL TREASURY EMPLOYEES UNION, SERGEANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY",S.4419,05/23/2024,"Cornyn, John",Senate - Homeland Security and Governmental Affairs,Texas,Republican Party,13,#0090A3,"Bill Name: DETECT Fentanyl and Xylazine Act of 2024
Sponsor: Cornyn, John
Lobbying Companies: NATIONAL TREASURY EMPLOYEES UNION, SERGEANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY"
NSF AI Education Act of 2024,,S.4394,05/22/24,"Cantwell, Maria","Senate - Commerce, Science, and Transportation",Washington,Democratic Party,10,#0090A3,
Preparing Election Administrators for AI Act,,H.R.8353,05/10/24,"Houlahan, Chrissy",House - House Administration,Pennsylvania,Democratic Party,4,#00AEC5,
CISA Securing AI Task Force Act,CHAMBER OF COMMERCE OF THE U.S.A.,H.R.8348,05/10/24,"Carter, Troy A.",House - Homeland Security,Louisiana,Democratic Party,4,#00AEC5,"Bill Name: CISA Securing AI Task Force Act
Sponsor: Carter, Troy A.
Lobbying Companies: CHAMBER OF COMMERCE OF THE U.S.A."
Five AIs Act 2024,,S.4306,05/09/24,"Rosen, Jacky",Senate - Foreign Relations,Nevada,Democratic Party,1,#00CCE7,
